A,0,0,0.0
A,0,1,1.0
A,0,2,2.0
A,0,3,3.0
A,0,4,4.0
A,0,5,5.0
A,0,6,6.0
A,0,7,7.0
A,0,8,8.0
A,0,9,9.0
A,0,10,10.0
A,0,11,11.0
A,0,12,12.0
A,0,13,13.0
A,0,14,14.0
A,0,15,15.0
A,0,16,16.0
A,0,17,17.0
A,0,18,18.0
A,0,19,19.0
A,1,0,20.0
A,1,1,21.0
A,1,2,22.0
A,1,3,23.0
A,1,4,24.0
A,1,5,25.0
A,1,6,26.0
A,1,7,27.0
A,1,8,28.0
A,1,9,29.0
A,1,10,30.0
A,1,11,31.0
A,1,12,32.0
A,1,13,33.0
A,1,14,34.0
A,1,15,35.0
A,1,16,36.0
A,1,17,37.0
A,1,18,38.0
A,1,19,39.0
A,2,0,40.0
A,2,1,41.0
A,2,2,42.0
A,2,3,43.0
A,2,4,44.0
A,2,5,45.0
A,2,6,46.0
A,2,7,47.0
A,2,8,48.0
A,2,9,49.0
A,2,10,50.0
A,2,11,51.0
A,2,12,52.0
A,2,13,53.0
A,2,14,54.0
A,2,15,55.0
A,2,16,56.0
A,2,17,57.0
A,2,18,58.0
A,2,19,59.0
A,3,0,60.0
A,3,1,61.0
A,3,2,62.0
A,3,3,63.0
A,3,4,64.0
A,3,5,65.0
A,3,6,66.0
A,3,7,67.0
A,3,8,68.0
A,3,9,69.0
A,3,10,70.0
A,3,11,71.0
A,3,12,72.0
A,3,13,73.0
A,3,14,74.0
A,3,15,75.0
A,3,16,76.0
A,3,17,77.0
A,3,18,78.0
A,3,19,79.0
A,4,0,80.0
A,4,1,81.0
A,4,2,82.0
A,4,3,83.0
A,4,4,84.0
A,4,5,85.0
A,4,6,86.0
A,4,7,87.0
A,4,8,88.0
A,4,9,89.0
A,4,10,90.0
A,4,11,91.0
A,4,12,92.0
A,4,13,93.0
A,4,14,94.0
A,4,15,95.0
A,4,16,96.0
A,4,17,97.0
A,4,18,98.0
A,4,19,99.0
A,5,0,100.0
A,5,1,101.0
A,5,2,102.0
A,5,3,103.0
A,5,4,104.0
A,5,5,105.0
A,5,6,106.0
A,5,7,107.0
A,5,8,108.0
A,5,9,109.0
A,5,10,110.0
A,5,11,111.0
A,5,12,112.0
A,5,13,113.0
A,5,14,114.0
A,5,15,115.0
A,5,16,116.0
A,5,17,117.0
A,5,18,118.0
A,5,19,119.0
A,6,0,120.0
A,6,1,121.0
A,6,2,122.0
A,6,3,123.0
A,6,4,124.0
A,6,5,125.0
A,6,6,126.0
A,6,7,127.0
A,6,8,128.0
A,6,9,129.0
A,6,10,130.0
A,6,11,131.0
A,6,12,132.0
A,6,13,133.0
A,6,14,134.0
A,6,15,135.0
A,6,16,136.0
A,6,17,137.0
A,6,18,138.0
A,6,19,139.0
A,7,0,140.0
A,7,1,141.0
A,7,2,142.0
A,7,3,143.0
A,7,4,144.0
A,7,5,145.0
A,7,6,146.0
A,7,7,147.0
A,7,8,148.0
A,7,9,149.0
A,7,10,150.0
A,7,11,151.0
A,7,12,152.0
A,7,13,153.0
A,7,14,154.0
A,7,15,155.0
A,7,16,156.0
A,7,17,157.0
A,7,18,158.0
A,7,19,159.0
A,8,0,160.0
A,8,1,161.0
A,8,2,162.0
A,8,3,163.0
A,8,4,164.0
A,8,5,165.0
A,8,6,166.0
A,8,7,167.0
A,8,8,168.0
A,8,9,169.0
A,8,10,170.0
A,8,11,171.0
A,8,12,172.0
A,8,13,173.0
A,8,14,174.0
A,8,15,175.0
A,8,16,176.0
A,8,17,177.0
A,8,18,178.0
A,8,19,179.0
A,9,0,180.0
A,9,1,181.0
A,9,2,182.0
A,9,3,183.0
A,9,4,184.0
A,9,5,185.0
A,9,6,186.0
A,9,7,187.0
A,9,8,188.0
A,9,9,189.0
A,9,10,190.0
A,9,11,191.0
